lat,long
-63.579442,-55.771161
-63.579459,-55.771142
-63.579487,-55.771109
-63.57948,-55.771072
-63.579425,-55.771176
-63.579429,-55.7712
-63.579464,-55.771187
-63.579448,-55.771212
-63.57942,-55.771261
-63.57943,-55.771286
-63.579453,-55.771251
-63.579469,-55.771243
-63.57948,-55.77122
-63.579504,-55.771221
-63.579498,-55.771164
-63.579525,-55.771155
-63.579539,-55.771146
-63.579585,-55.771162
-63.579572,-55.771205
-63.579553,-55.771184
-63.579539,-55.771208
-63.579529,-55.771274
-63.57951,-55.771262
-63.579488,-55.771287
-63.579463,-55.771302
-63.579448,-55.771322
-63.579426,-55.771374
-63.579424,-55.771418
-63.579433,-55.771476
-63.579417,-55.771473
-63.579398,-55.771448
-63.579393,-55.771394
-63.579378,-55.771356
-63.579399,-55.77129
-63.579389,-55.771235
-63.579367,-55.771226
-63.57937,-55.771255
-63.579326,-55.771191
-63.579307,-55.771161
-63.579299,-55.771111
-63.579273,-55.771279
-63.57929,-55.771277
-63.579305,-55.771267
-63.579316,-55.771247
-63.579339,-55.771244
-63.579335,-55.771285
-63.579357,-55.771279
-63.57936,-55.771324
-63.579381,-55.771308
-63.579352,-55.771358
-63.579335,-55.77135
-63.57931,-55.771334
-63.579292,-55.771343
-63.579275,-55.771325
-63.579259,-55.771363
-63.579246,-55.771279
-63.579215,-55.771277
-63.5792,-55.771255
-63.579202,-55.771213
-63.57923,-55.771216
-63.579285,-55.771385
-63.579307,-55.771383
-63.579317,-55.771408
-63.579342,-55.77143
-63.579366,-55.77139
-63.579369,-55.77144
-63.579351,-55.771479
-63.57938,-55.771485
-63.579394,-55.771492
-63.579364,-55.771531
-63.579345,-55.771545
-63.579348,-55.771575
-63.579321,-55.771537
-63.579304,-55.771545
-63.579301,-55.771474
-63.579319,-55.771469
-63.579279,-55.771495
-63.579287,-55.771442
-63.579468,-55.771512
-63.579466,-55.77147
-63.579483,-55.771462
-63.57948,-55.771427
-63.579498,-55.771412
-63.579496,-55.771337
-63.57952,-55.77136
-63.579552,-55.771314
-63.57958,-55.771311
-63.579566,-55.771299
-63.579556,-55.771269
-63.579576,-55.771252
-63.579595,-55.771217
-63.579614,-55.771191
-63.579653,-55.771156
-63.579666,-55.771243
-63.579692,-55.771217
-63.5797,-55.7712
-63.579716,-55.771229
-63.579696,-55.771258
-63.579707,-55.771285
-63.579733,-55.77127
-63.57975,-55.771262
-63.579699,-55.771347
-63.579678,-55.771329
