"","Taxon","value","ecosystem","site","pool","lat","lon"
"108","Closterium_juncidum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"109","Closterium_lineatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"110","Closterium_lunula_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"111","Closterium_cf._macilentum_Br_b.",0,"Swamp","1","2",50.57589,14.67093
"112","Closterium_navicula_(Br_b.)_LÙtkem.",0,"Swamp","1","2",50.57589,14.67093
"113","Closterium_parvulum_N_geli",0,"Swamp","1","2",50.57589,14.67093
"114","Closterium_pronum_Br_b.",0,"Swamp","1","2",50.57589,14.67093
"115","Closterium_setaceum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"116","Closterium_striolatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"117","Cosmarium_amoenum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"118","Cosmarium_angulosum_Br_b.",0,"Swamp","1","2",50.57589,14.67093
"119","Cosmarium_blyttii_Wille",1,"Swamp","1","2",50.57589,14.67093
"120","Cosmarium_contractum_Kirchn.",0,"Swamp","1","2",50.57589,14.67093
"121","Cosmarium_difficile_LÙtkem.",0,"Swamp","1","2",50.57589,14.67093
"122","Cosmarium_discrepans___astn__et_Kouwets",1,"Swamp","1","2",50.57589,14.67093
"123","Cosmarium_goniodes_var._subturgidum_W._et_G._S._West",0,"Swamp","1","2",50.57589,14.67093
"124","Cosmarium_margaritiferum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"125","Cosmarium_messikommeri_Coesel",0,"Swamp","1","2",50.57589,14.67093
"126","Cosmarium_obsoletum_(Hantzsch)_Reinsch",1,"Swamp","1","2",50.57589,14.67093
"127","Cosmarium_ordinatum_(BÀrges.)_W._et_G_.S._West",0,"Swamp","1","2",50.57589,14.67093
"128","Cosmarium_ornatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"129","Cosmarium_paragranatoides_Skuja",0,"Swamp","1","2",50.57589,14.67093
"130","Cosmarium_prominulum_var._subundulatum_W._et_G._S._West",1,"Swamp","1","2",50.57589,14.67093
"131","Cosmarium_pseudoornatum_B._Eichler_et_Gutw.",0,"Swamp","1","2",50.57589,14.67093
"132","Cosmarium_pseudopyramidatum__P._Lundell",1,"Swamp","1","2",50.57589,14.67093
"133","Cosmarium_cf._pseudoretusum_F._Ducell",0,"Swamp","1","2",50.57589,14.67093
"134","Cosmarium_pyramidatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"135","Cosmarium_regnellii_Wille",0,"Swamp","1","2",50.57589,14.67093
"136","Cosmarium_sphagnicolum_W._et_G._S._West",1,"Swamp","1","2",50.57589,14.67093
"137","Cosmarium_tinctum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"138","Cosmarium_sp._1",1,"Swamp","1","2",50.57589,14.67093
"139","Cosmarium_sp._2_(smaller_C._contractum)",0,"Swamp","1","2",50.57589,14.67093
"140","Cosmarium_sp._3",0,"Swamp","1","2",50.57589,14.67093
"141","Cylindrocystis_brebissonii_De_Bary",1,"Swamp","1","2",50.57589,14.67093
"142","Cylindrocystis_crassa_De_Bary",0,"Swamp","1","2",50.57589,14.67093
"143","Cylindrocystis_gracilis_I._Hirn",1,"Swamp","1","2",50.57589,14.67093
"144","Euastrum_ansatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"145","Euastrum_binale_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"146","Euastrum_denticulatum_F._Gay",0,"Swamp","1","2",50.57589,14.67093
"147","Euastrum_elegans_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"148","Euastrum_gayanum_De_Toni",0,"Swamp","1","2",50.57589,14.67093
"149","Euastrum_humerosum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"150","Euastrum_insigne_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"151","Euastrum_oblongum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"152","Euastrum_pectinatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"153","Euastrum_pinnatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"154","Euastrum_verrucosum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"155","Haplotaenium_minutum_(Ralfs)_Bando",0,"Swamp","1","2",50.57589,14.67093
"156","Haplotaenium_rectum_(Delponte)_Bando",1,"Swamp","1","2",50.57589,14.67093
"157","Mesotaenium_endlicherianum_N_geli",0,"Swamp","1","2",50.57589,14.67093
"158","Micrasterias_jenneri_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"159","Micrasterias_oscitans_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"160","Micrasterias_rotata_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"161","Micrasterias_thomasiana_var._notata_(Nordstedt)_Gr_nblad",1,"Swamp","1","2",50.57589,14.67093
"162","Micrasterias_truncata_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"163","Netrium_digitus_Itzigs._et_Rothe",1,"Swamp","1","2",50.57589,14.67093
"164","Netrium_oblongum_(De_Bary)_LÙtkem.",1,"Swamp","1","2",50.57589,14.67093
"165","Penium_cylindrus_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"166","Penium_spirostriolatum_J._Barker",0,"Swamp","1","2",50.57589,14.67093
"167","Pleurotaenium_ehrenbergii_(Ralfs)_De_Bary",0,"Swamp","1","2",50.57589,14.67093
"168","Staurastrum_aculeatum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"169","Staurastrum_hirsutum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"170","Staurastrum_hystrix_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"171","Staurastrum_inflexum_Br_b.",1,"Swamp","1","2",50.57589,14.67093
"172","Staurastrum_micron_W._et_G._S._West",0,"Swamp","1","2",50.57589,14.67093
"173","Staurastrum_minimum_Coesel",0,"Swamp","1","2",50.57589,14.67093
"174","Staurastrum_polymorphum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"175","Staurastrum_punctulatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"176","Staurastrum_scabrum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"177","Staurastrum_simonyi_Heimerl",1,"Swamp","1","2",50.57589,14.67093
"178","Staurastrum_teliferum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"179","Staurastrum_tetracerum_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"180","Staurastrum_sp._1",0,"Swamp","1","2",50.57589,14.67093
"181","Staurastrum_sp._2",0,"Swamp","1","2",50.57589,14.67093
"182","Staurastrum_sp._3",0,"Swamp","1","2",50.57589,14.67093
"183","Staurodesmus_dejectus_(Ralfs)_Teiling",1,"Swamp","1","2",50.57589,14.67093
"184","Staurodesmus_extensus_(Borge)_Teiling",0,"Swamp","1","2",50.57589,14.67093
"185","Staurodesmus_incus_(Br_b.)_Teiling",1,"Swamp","1","2",50.57589,14.67093
"186","Tetmemorus_brebissonii_Ralfs",0,"Swamp","1","2",50.57589,14.67093
"187","Tetmemorus_granulatus_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"188","Tetmemorus_laevis_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"189","Xanthidium_antilopaeum_var._laeve_Schmidle",0,"Swamp","1","2",50.57589,14.67093
"190","Xanthidium_armatum_Ralfs",1,"Swamp","1","2",50.57589,14.67093
"191","Actinotaenium_cruciferum_(De_Bary)_Teiling",0,"Swamp","1","3",50.57594,14.67098
"192","Actinotaenium_cucurbita_(Ralfs)_Teiling",1,"Swamp","1","3",50.57594,14.67098
"193","Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel",0,"Swamp","1","3",50.57594,14.67098
"194","Closterium_cf._abruptum_W._West",0,"Swamp","1","3",50.57594,14.67098
"195","Closterium_angustatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"196","Closterium_attenuatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"197","Closterium_baillyanum_(Ralfs)_Br_b.",1,"Swamp","1","3",50.57594,14.67098
"198","Closterium_calosporum_Wittr.",0,"Swamp","1","3",50.57594,14.67098
"199","Closterium_costatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"200","Closterium_dianae_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"201","Closterium_directum_W._Archer",0,"Swamp","1","3",50.57594,14.67098
"202","Closterium_gracile_Ralfs",1,"Swamp","1","3",50.57594,14.67098
"203","Closterium_juncidum_Ralfs",1,"Swamp","1","3",50.57594,14.67098
"204","Closterium_lineatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"205","Closterium_lunula_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"206","Closterium_cf._macilentum_Br_b.",0,"Swamp","1","3",50.57594,14.67098
"207","Closterium_navicula_(Br_b.)_LÙtkem.",0,"Swamp","1","3",50.57594,14.67098
"208","Closterium_parvulum_N_geli",0,"Swamp","1","3",50.57594,14.67098
"209","Closterium_pronum_Br_b.",0,"Swamp","1","3",50.57594,14.67098
"210","Closterium_setaceum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"211","Closterium_striolatum_Ralfs",1,"Swamp","1","3",50.57594,14.67098
"212","Cosmarium_amoenum_Ralfs",1,"Swamp","1","3",50.57594,14.67098
"213","Cosmarium_angulosum_Br_b.",0,"Swamp","1","3",50.57594,14.67098
"214","Cosmarium_blyttii_Wille",0,"Swamp","1","3",50.57594,14.67098
"215","Cosmarium_contractum_Kirchn.",0,"Swamp","1","3",50.57594,14.67098
"216","Cosmarium_difficile_LÙtkem.",0,"Swamp","1","3",50.57594,14.67098
"217","Cosmarium_discrepans___astn__et_Kouwets",1,"Swamp","1","3",50.57594,14.67098
"218","Cosmarium_goniodes_var._subturgidum_W._et_G._S._West",0,"Swamp","1","3",50.57594,14.67098
"219","Cosmarium_margaritiferum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"220","Cosmarium_messikommeri_Coesel",0,"Swamp","1","3",50.57594,14.67098
"221","Cosmarium_obsoletum_(Hantzsch)_Reinsch",1,"Swamp","1","3",50.57594,14.67098
"222","Cosmarium_ordinatum_(BÀrges.)_W._et_G_.S._West",0,"Swamp","1","3",50.57594,14.67098
"223","Cosmarium_ornatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"224","Cosmarium_paragranatoides_Skuja",0,"Swamp","1","3",50.57594,14.67098
"225","Cosmarium_prominulum_var._subundulatum_W._et_G._S._West",0,"Swamp","1","3",50.57594,14.67098
"226","Cosmarium_pseudoornatum_B._Eichler_et_Gutw.",0,"Swamp","1","3",50.57594,14.67098
"227","Cosmarium_pseudopyramidatum__P._Lundell",1,"Swamp","1","3",50.57594,14.67098
"228","Cosmarium_cf._pseudoretusum_F._Ducell",0,"Swamp","1","3",50.57594,14.67098
"229","Cosmarium_pyramidatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"230","Cosmarium_regnellii_Wille",0,"Swamp","1","3",50.57594,14.67098
"231","Cosmarium_sphagnicolum_W._et_G._S._West",1,"Swamp","1","3",50.57594,14.67098
"232","Cosmarium_tinctum_Ralfs",1,"Swamp","1","3",50.57594,14.67098
"233","Cosmarium_sp._1",0,"Swamp","1","3",50.57594,14.67098
"234","Cosmarium_sp._2_(smaller_C._contractum)",0,"Swamp","1","3",50.57594,14.67098
"235","Cosmarium_sp._3",0,"Swamp","1","3",50.57594,14.67098
"236","Cylindrocystis_brebissonii_De_Bary",1,"Swamp","1","3",50.57594,14.67098
"237","Cylindrocystis_crassa_De_Bary",0,"Swamp","1","3",50.57594,14.67098
"238","Cylindrocystis_gracilis_I._Hirn",0,"Swamp","1","3",50.57594,14.67098
"239","Euastrum_ansatum_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"240","Euastrum_binale_Ralfs",0,"Swamp","1","3",50.57594,14.67098
"241","Euastrum_denticulatum_F._Gay",0,"Swamp","1","3",50.57594,14.67098
"242","Euastrum_elegans_Ralfs",0,"Swamp","1","3",50.57594,14.67098
